station 40897,,,,,,,,
Start Date/Time,Year,Month,Day,Hour,48-hr Precip (in),Rank,,
1960-03-07T02,1960,03,07,02,3.61,223,,
1949-12-18T23,1949,12,18,23,3.60,224,,
1972-01-23T06,1972,01,23,06,3.60,225,,
1955-12-27T11,1955,12,27,11,3.58,226,,
1983-01-24T05,1983,01,24,05,3.58,227,,
1951-01-11T23,1951,01,11,23,3.57,228,,
1980-12-04T06,1980,12,04,06,3.57,229,,
1957-10-14T18,1957,10,14,18,3.56,230,,
2004-02-27T05,2004,02,27,05,3.55,231,,
1975-10-11T15,1975,10,11,15,3.54,232,,
2006-03-14T19,2006,03,14,19,3.53,233,,
1970-01-10T09,1970,01,10,09,3.51,234,,
1998-11-23T20,1998,11,23,20,3.50,235,,
1950-04-08T12,1950,04,08,12,3.48,236,,
1960-11-14T07,1960,11,14,07,3.48,237,,
1985-12-03T13,1985,12,03,13,3.46,238,,
1988-04-20T21,1988,04,20,21,3.46,239,,
1988-01-04T20,1988,01,04,20,3.45,240,,
1956-01-05T21,1956,01,05,21,3.44,241,,
2004-10-20T16,2004,10,20,16,3.43,242,,
1985-11-25T06,1985,11,25,06,3.42,243,,
1983-03-01T17,1983,03,01,17,3.41,244,,
1967-12-01T03,1967,12,01,03,3.40,245,,
1966-11-16T12,1966,11,16,12,3.38,246,,
2006-04-17T04,2006,04,17,04,3.37,247,,
1975-02-14T08,1975,02,14,08,3.36,248,,
2003-12-25T17,2003,12,25,17,3.36,249,,
1967-01-30T23,1967,01,30,23,3.35,250,,
1971-01-14T13,1971,01,14,13,3.35,251,,
1973-02-11T15,1973,02,11,15,3.34,252,,
1978-11-21T11,1978,11,21,11,3.34,253,,
1963-04-16T01,1963,04,16,01,3.33,254,,
1981-03-21T02,1981,03,21,02,3.33,255,,
1998-01-04T06,1998,01,04,06,3.30,256,,
1998-03-24T04,1998,03,24,04,3.30,257,,
1972-12-18T21,1972,12,18,21,3.29,258,,
1969-02-16T05,1969,02,16,05,3.28,259,,
1954-01-17T19,1954,01,17,19,3.27,260,,
1962-03-02T12,1962,03,02,12,3.24,261,,
1988-11-14T00,1988,11,14,00,3.24,262,,
1991-11-18T10,1991,11,18,10,3.20,263,,
1993-11-30T09,1993,11,30,09,3.20,264,,
1996-04-02T20,1996,04,02,20,3.20,265,,
1980-01-17T05,1980,01,17,05,3.19,266,,
1949-02-05T02,1949,02,05,02,3.17,267,,
1969-02-25T23,1969,02,25,23,3.17,268,,
1970-12-17T17,1970,12,17,17,3.17,269,,
1960-12-02T15,1960,12,02,15,3.16,270,,
1956-12-06T00,1956,12,06,00,3.15,271,,
1963-11-24T08,1963,11,24,08,3.12,272,,
2002-02-20T19,2002,02,20,19,3.12,273,,
1985-03-07T14,1985,03,07,14,3.11,274,,
1965-12-25T16,1965,12,25,16,3.09,275,,
1970-12-29T05,1970,12,29,05,3.09,276,,
1948-12-14T12,1948,12,14,12,3.08,277,,
1957-01-13T15,1957,01,13,15,3.08,278,,
1959-12-25T07,1959,12,25,07,3.08,279,,
1961-04-23T12,1961,04,23,12,3.07,280,,
1971-03-12T18,1971,03,12,18,3.07,281,,
2002-03-24T12,2002,03,24,12,3.07,282,,
1959-04-26T15,1959,04,26,15,3.06,283,,
1970-03-01T19,1970,03,01,19,3.06,284,,
2007-12-08T00,2007,12,08,00,3.04,285,,
1987-12-10T04,1987,12,10,04,3.03,286,,
2013-03-21T01,2013,03,21,01,3.03,287,,
1965-11-24T22,1965,11,24,22,3.01,288,,
1984-11-29T06,1984,11,29,06,3.01,289,,
1965-03-27T19,1965,03,27,19,3.00,290,,
1990-02-20T11,1990,02,20,11,3.00,291,,
1996-04-17T22,1996,04,17,22,3.00,292,,
1981-03-26T23,1981,03,26,23,2.95,293,,
1964-03-22T23,1964,03,22,23,2.92,294,,
1979-03-02T02,1979,03,02,02,2.91,295,,
1979-03-28T08,1979,03,28,08,2.91,296,,
1961-01-31T12,1961,01,31,12,2.90,297,,
1992-02-12T10,1992,02,12,10,2.90,298,,
1996-11-22T19,1996,11,22,19,2.90,299,,
1976-02-29T21,1976,02,29,21,2.89,300,,
2003-12-14T11,2003,12,14,11,2.88,301,,
1954-04-28T07,1954,04,28,07,2.87,302,,
1975-03-09T05,1975,03,09,05,2.87,303,,
2004-12-31T02,2004,12,31,02,2.87,304,,
1967-12-19T14,1967,12,19,14,2.84,305,,
2010-04-28T22,2010,04,28,22,2.84,306,,
1987-03-14T14,1987,03,14,14,2.83,307,,
1954-12-07T13,1954,12,07,13,2.82,308,,
1977-02-22T16,1977,02,22,16,2.82,309,,
1953-03-11T13,1953,03,11,13,2.80,310,,
1994-04-28T08,1994,04,28,08,2.80,311,,
1998-04-24T15,1998,04,24,15,2.80,312,,
2005-03-29T16,2005,03,29,16,2.80,313,,
1949-03-03T14,1949,03,03,14,2.79,314,,
1957-01-21T11,1957,01,21,11,2.79,315,,
1976-03-02T00,1976,03,02,00,2.76,316,,
2012-04-26T16,2012,04,26,16,2.75,317,,
1966-04-11T11,1966,04,11,11,2.74,318,,
1972-10-11T11,1972,10,11,11,2.73,319,,
2012-10-23T18,2012,10,23,18,2.73,320,,
1974-10-28T20,1974,10,28,20,2.72,321,,
1973-02-28T05,1973,02,28,05,2.71,322,,
1994-12-03T19,1994,12,03,19,2.70,323,,
2002-01-27T02,2002,01,27,02,2.67,324,,
1962-03-07T01,1962,03,07,01,2.61,325,,
1968-01-10T15,1968,01,10,15,2.61,326,,
2001-11-12T23,2001,11,12,23,2.61,327,,
1995-03-15T00,1995,03,15,00,2.60,328,,
1997-10-10T18,1997,10,10,18,2.60,329,,
1954-02-19T00,1954,02,19,00,2.59,330,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
